dataset,seed,budget,method,accuracy,f1,precision,info_loss_num,info_loss_cat,info_loss,eps_age,eps_sex,eps_cp,eps_Age,eps_Gender,eps_BMI
heart,2,8,GA,0.8409090909090908,0.8408522343170145,0.840966778316171,0.2971133302485364,0.09344490934449093,0.1952791197965137,2.105560931276878,2.702791737578192,3.1916473311449303,,,
heart,2,8,DAS,0.8192640692640693,0.8192580477619321,0.8195399321327477,0.2059629962498072,0.20571827057182707,0.20584063341081715,4.0,2.0,2.0,,,
heart,2,8,SSAS,0.8170995670995671,0.8171122221333057,0.817426192694268,0.19377475040344014,0.25871687587168757,0.22624581313756387,4.363636363636363,2.1818181818181817,1.4545454545454544,,,
heart,2,10,GA,0.841991341991342,0.84191127003627,0.8421158017809464,0.23621985117511157,0.06415620641562064,0.1501880287953661,3.245047966807891,3.137538109827663,3.6174139233644462,,,
heart,2,10,DAS,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.1749645648969462,0.14086471408647142,0.1579146394917088,5.0,2.5,2.5,,,
heart,2,10,SSAS,0.8257575757575758,0.825783879120686,0.8259787721512155,0.16307417474218774,0.19386331938633194,0.17846874706425986,5.454545454545454,2.727272727272727,1.8181818181818177,,,
heart,2,9,GA,0.8409090909090908,0.8408368729587381,0.8410074129410902,0.2685242836024587,0.07531380753138076,0.17191904556691973,2.5880943751798977,3.156065529385978,3.255840095434123,,,
heart,2,9,DAS,0.8279220779220778,0.8279251158508042,0.8280495396439939,0.1894907165178463,0.16596931659693165,0.17773001655738896,4.5,2.25,2.25,,,
heart,2,9,SSAS,0.8127705627705627,0.8127963412676559,0.8130090191035961,0.17751216480141838,0.22245467224546722,0.1999834185234428,4.909090909090909,2.4545454545454546,1.6363636363636365,,,
heart,1,10,GA,0.8982683982683982,0.8982776204955,0.8983248159668404,0.25033668293885863,0.07252440725244072,0.1614305450956497,2.879031614688754,1.9621769239342115,5.158791461377035,,,
heart,1,10,DAS,0.8852813852813853,0.885257124759533,0.8868893356018651,0.17533532044375533,0.1290097629009763,0.15217254167236582,5.0,2.5,2.5,,,
heart,1,10,SSAS,0.8766233766233767,0.8765862625161353,0.8785636911144126,0.16412284457569898,0.19874476987447698,0.18143380722508798,5.454545454545454,2.727272727272727,1.8181818181818177,,,
heart,2,7,GA,0.8409090909090908,0.8408368729587381,0.8410074129410902,0.5128911407106104,0.0606694560669456,0.286780298388778,0.00836444632466916,3.3794527787296977,3.6121827749456323,,,
heart,2,7,DAS,0.8192640692640693,0.819287814284269,0.8196037407426945,0.22517709915258466,0.24965132496513248,0.23741421205885857,3.5,1.75,1.75,,,
heart,2,7,SSAS,0.8073593073593074,0.8073904595948743,0.8076144062885975,0.2126241125738545,0.29567642956764295,0.2541502710707487,3.818181818181818,1.909090909090909,1.2727272727272727,,,
