dataset,budget,metric,mean_ga,std_ga,mean_das,std_das,mean_ssas,std_ssas,wilcoxon_stat_ga_vs_das,p_ga_vs_das,wilcoxon_stat_ga_vs_ssas,p_ga_vs_ssas
diabetes,1,accuracy,0.7231673881673882,0.007479805322162086,0.7206854256854257,0.007745306044676118,0.7208152958152959,0.0077823978921023095,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,1,f1,0.6972389022587339,0.009068400682893153,0.6943870654047722,0.009365862768073075,0.694601223062163,0.009435302785005475,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,1,precision,0.7364733409515153,0.009691679011758499,0.73334955973359,0.010129449690668299,0.7333959844662239,0.010090354831448834,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,1,info_loss,0.45538764249212316,0.019602478378837777,0.4438123267265087,0.004565915465045879,0.4421023473289281,0.004447852533448258,102.0,0.0061949919909238815,88.0,0.0021877754479646683
diabetes,2,accuracy,0.7274531024531025,0.00767917117275074,0.7232828282828284,0.007521903684722285,0.7235786435786433,0.00758316136530241,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,2,f1,0.7024552234129442,0.009401019502299655,0.6969973007175038,0.009169363487931828,0.6974784204058861,0.009171265982676521,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,2,precision,0.7413025792006489,0.009552457669385424,0.7372450675468797,0.009715089895401968,0.7373904114507038,0.00987812478707361,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,2,info_loss,0.4397352490745826,0.0181022559775348,0.39139025154570833,0.004730178465076395,0.3878445606964574,0.004714668907956437,3.0,9.313225746154785e-09,2.0,5.587935447692871e-09
diabetes,3,accuracy,0.7316305916305917,0.007824953907477424,0.7258152958152959,0.007834766999578623,0.7260678210678211,0.007722083724929406,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,3,f1,0.707772335408498,0.00955751428944738,0.6997903284150871,0.009467650080405215,0.7003025463404469,0.009363857934765574,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,3,precision,0.7455837847547957,0.009855764953340333,0.7406640226948262,0.010162785447843265,0.7405826759976024,0.009944560845880539,6.0,2.60770320892334e-08,7.0,3.5390257835388184e-08
diabetes,3,info_loss,0.4193782259216301,0.023961396920502573,0.3438918130575725,0.00468707357912075,0.3400536754993286,0.004919417102934164,1.0,3.725290298461914e-09,1.0,3.725290298461914e-09
diabetes,4,accuracy,0.7375324675324676,0.00791718755529734,0.7277922077922079,0.007751738746626249,0.7279797979797978,0.007593040136866093,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,4,f1,0.7160906226002121,0.01002069788174656,0.7021596669518095,0.009457926720335855,0.7027124238080334,0.009319776574644412,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,4,precision,0.7498115293741703,0.008995092878345516,0.7429463999869952,0.009757254748135828,0.7425514448948046,0.00937085062764484,3.0,9.313225746154785e-09,1.0,3.725290298461914e-09
diabetes,4,info_loss,0.40971498293995956,0.035294646143377566,0.30211941118146635,0.004389747410823142,0.29770769386059653,0.004190837116579171,2.0,5.587935447692871e-09,2.0,5.587935447692871e-09
diabetes,5,accuracy,0.7431385281385283,0.008504253438315748,0.7302958152958152,0.007677422017486308,0.7307287157287159,0.007655829842768673,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
diabetes,5,f1,0.7240169561885627,0.01057317581906547,0.7052312382831413,0.009512350675070964,0.706205122228857,0.009354245084626966,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09
